category,horizon,swing_threshold,terminal_rate,peak_rate,peak_over_terminal
credit_conditions,63-126 sessions (current),0.1,0.05620038324664659,0.1505885573501232,2.679493424257185
credit_conditions,126-252 sessions (rejected),0.1,0.18002462476547842,0.34846974671669795,1.9356782283015797
energy_commodity,63-126 sessions (current),0.25,0.0689855890497945,0.20268816255975164,2.9381232421375607
energy_commodity,126-252 sessions (rejected),0.25,0.15555719638934526,0.35563841766193494,2.2862228551085795
growth_tech,63-126 sessions (current),0.5,0.07435425840403824,0.17118193534529053,2.3022479010562424
growth_tech,126-252 sessions (rejected),0.5,0.15874400648467446,0.3104125736738703,1.9554286208836382
growth_tech,"126-252 sessions (rejected), +100% bar",1.0,0.05740722931292676,0.14193468613900834,2.472418331937298
inflation_safe_haven,63-126 sessions (current),0.15,0.07448909959415292,0.17433466221312358,2.3404050144648023
inflation_safe_haven,126-252 sessions (rejected),0.15,0.15905206790475104,0.30169761877634726,1.8968481375358166
international_emerging,63-126 sessions (current),0.25,0.06641144507352661,0.1785062887107193,2.687884422829352
international_emerging,126-252 sessions (rejected),0.25,0.1765947421121866,0.36149451239864133,2.0470287397854245
market_beta,63-126 sessions (current),0.15,0.07536123142684993,0.2165796982822323,2.873887464172575
market_beta,126-252 sessions (rejected),0.15,0.24326103567859872,0.47846940574854524,1.9668970183153724
rates_recession,63-126 sessions (current),0.12,0.061524686620619086,0.1631171655154771,2.651247401247401
rates_recession,126-252 sessions (rejected),0.12,0.10817405449369663,0.26220008133387557,2.4238721804511276
small_cap,63-126 sessions (current),0.2,0.05920578985260126,0.1810655147588193,3.05824
small_cap,126-252 sessions (rejected),0.2,0.20011003694097304,0.4330150121826613,2.1638845247446974
