category,horizon,sessions_needed,coverage_sessions,fits_three_way_split,non_overlapping_holds,effective_series,effective_independent_outcomes
credit_conditions,3-10 sessions (original),770,4374,True,437,1.675225006912523,732.0733280207726
credit_conditions,63-126 sessions (current),2742,4374,True,34,1.675225006912523,56.95765023502578
credit_conditions,126-252 sessions (rejected),4884,4374,False,17,1.675225006912523,28.47882511751289
energy_commodity,3-10 sessions (original),770,4947,True,494,1.9191044661910026,948.0376062983553
energy_commodity,63-126 sessions (current),2742,4947,True,39,1.9191044661910026,74.8450741814491
energy_commodity,126-252 sessions (rejected),4884,4947,True,19,1.9191044661910026,36.46298485762905
growth_tech,3-10 sessions (original),770,6967,True,696,1.801771609905483,1254.0330404942163
growth_tech,63-126 sessions (current),2742,6967,True,55,1.801771609905483,99.09743854480156
growth_tech,126-252 sessions (rejected),4884,6967,True,27,1.801771609905483,48.64783346744804
inflation_safe_haven,3-10 sessions (original),770,4910,True,491,3.1274538963826948,1535.5798631239031
inflation_safe_haven,63-126 sessions (current),2742,4910,True,38,3.1274538963826948,118.8432480625424
inflation_safe_haven,126-252 sessions (rejected),4884,4910,True,19,3.1274538963826948,59.4216240312712
international_emerging,3-10 sessions (original),770,6617,True,661,1.4233972883432666,940.8656075948992
international_emerging,63-126 sessions (current),2742,6617,True,52,1.4233972883432666,74.01665899384986
international_emerging,126-252 sessions (rejected),4884,6617,True,26,1.4233972883432666,37.00832949692493
market_beta,3-10 sessions (original),770,6500,True,650,1.2447798710459583,809.1069161798729
market_beta,63-126 sessions (current),2742,6500,True,51,1.2447798710459583,63.48377342334388
market_beta,126-252 sessions (rejected),4884,6500,True,25,1.2447798710459583,31.119496776148956
rates_recession,3-10 sessions (original),770,4680,True,468,3.6994685120163155,1731.3512636236358
rates_recession,63-126 sessions (current),2742,4680,True,37,3.6994685120163155,136.88033494460367
rates_recession,126-252 sessions (rejected),4884,4680,False,18,3.6994685120163155,66.59043321629368
small_cap,3-10 sessions (original),770,6519,True,651,1.0447241299126095,680.1154085731088
small_cap,63-126 sessions (current),2742,6519,True,51,1.0447241299126095,53.280930625543085
small_cap,126-252 sessions (rejected),4884,6519,True,25,1.0447241299126095,26.118103247815238
